Date,Close,High,Low,Open,Volume,Daily_Return,Norm_Close,Rolling_Std,Rolling_Ann_Vol,SMA_20,SMA_50,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_High,BB_Low,BB_Mid,BB_Width,Volatility_20,SMA20_Signal,RSI_Signal,MA_Cross,Future_Close,signal,MACD_Crossover,Combined_Signal
2014-11-05,339.4859924316406,343.3689880371094,330.6830139160156,330.6830139160156,19817200.0,0.0272139353373663,0.7423152037168753,0.0280891957858934,0.4459021594636658,355.7478988647461,372.76684020996095,341.4286806548297,355.152230638297,41.65192699555711,-13.723549983467308,-1,-1.2609511410364895,400.5500362626671,310.9457614668251,355.7478988647461,25.18757667488268,0.0264676048700581,0,0,-1,0.08082224130161464,2,-1,-2
2014-11-06,349.2900085449219,352.96600341796875,338.42401123046875,339.4580078125,18797000.0,0.0288790004060488,0.7637525247864312,0.0283704785827979,0.4503673854358052,354.0244995117188,370.6059600830078,342.6381157148439,354.71799196471363,46.90574071704674,-12.079876249869756,-1,0.3061780740488515,396.9986645378572,311.0503344855804,354.0244995117188,24.277509090703976,0.0275204625542171,0,0,-1,0.05269260021484379,2,-1,-2
2014-11-07,342.4150085449219,352.73199462890625,341.7760009765625,349.8179931640625,16834200.0,-0.0196827845967881,0.7487197483558068,0.0271119067401621,0.430388176819469,351.5731506347656,368.9654602050781,342.6037915348559,353.80665985954386,43.919280466584894,-11.202868324687984,-1,0.946548799384498,391.192398611628,311.95390265790326,351.5731506347656,22.538267160236657,0.0271003573323074,0,0,-1,0.23698142332772298,2,-1,-2
2014-11-08,345.4880065917969,347.0320129394531,342.15399169921875,342.15399169921875,8535470.0,0.0089744840914933,0.7554391218264129,0.0263729362276383,0.4186573836053813,349.37025146484376,367.9793005371094,343.0475169282314,353.1904633211922,45.586942848384005,-10.142946392960823,-1,1.6051765848893282,384.997379346589,313.74312358309845,349.37025146484376,20.39505523573771,0.0273150728645227,0,0,-1,0.2177991053931776,2,-1,-2
2014-11-09,363.2640075683594,363.6260070800781,344.2550048828125,345.3760070800781,24205600.0,0.0514518612438124,0.7943078707007731,0.0280305572203721,0.444971301094024,348.3912017822266,367.0665008544922,346.15774625748185,353.9366517839453,54.09137474496063,-7.778905526463461,-1,3.1753739611093543,381.25384935462125,315.5285542098319,348.3912017822266,18.86537168808101,0.0299682143071927,1,0,-1,0.09512086217129756,2,-1,-2
2014-11-10,366.9240112304688,374.8160095214844,357.5610046386719,362.2650146484375,30450100.0,0.010075326995947,0.8023107822335379,0.0280837281878043,0.4458153640347896,347.41365203857424,366.4285607910156,349.352556253326,354.8986784096137,55.62907881430299,-5.5461221562877085,-1,4.326525865028085,376.6497421731097,318.1775619040388,347.41365203857424,16.83070884692194,0.0299806740344205,1,0,-1,0.025097797072799688,1,-1,-2
2014-11-11,367.6950073242188,371.30999755859375,363.7349853515625,365.8569946289063,15838900.0,0.0021012418652148,0.8039966312380802,0.0268283154487427,0.4258863046329934,346.6405029296876,365.7394207763672,352.17447180269414,355.8465546255104,55.963693274575306,-3.672082822816265,-1,4.960452158799624,372.6999171687245,320.58108869065063,346.6405029296876,15.035412203012417,0.0299553722900796,1,0,-1,0.05490142862715497,2,-1,-2
2014-11-12,423.5610046386719,429.7179870605469,367.9849853515625,367.9849853515625,45783200.0,0.1519356972535464,0.9261524199947404,0.0383447011592704,0.6087032601871177,349.8977035522461,365.4948211669922,363.1570153159215,360.86243981167047,72.27758042480961,2.2945755042510427,1,8.741688388693547,392.23292793672096,307.5624791677713,349.8977035522461,24.19862945922616,0.042503343309247,1,-1,-1,-0.08535491875027512,0,1,-1
2014-11-13,420.7349853515625,457.0929870605469,401.12298583984375,427.2730102539063,58945000.0,-0.0066720478423649,0.9199730867392134,0.0381271765842371,0.6052501646096189,353.0172027587891,365.4454211425781,372.015164552174,365.29744318499576,70.84774889362464,6.717721367178228,1,10.531867401296584,405.3876033057449,300.6468022118333,353.0172027587891,29.670169123593475,0.0426031894405474,1,-1,-1,-0.10823199612610579,0,1,-1
2014-11-14,397.8179931640625,419.25201416015625,384.78900146484375,418.4169921875,29589200.0,-0.0544689483532032,0.8698631201912782,0.0394009157526282,0.6254701470579705,355.5445526123048,365.1703009033203,375.9848304924645,367.7063728130748,60.41101571203106,8.27845767938976,1,9.674082970806491,411.3292032816448,299.7599019429647,355.5445526123048,31.379837074972222,0.0440621934764038,1,0,-1,-0.04339421741832028,1,1,0
2014-11-15,376.1329956054688,405.5280151367188,371.0079956054688,399.6499938964844,15727500.0,-0.0545098460381873,0.8224470154353544,0.040284231488509,0.639492349655714,356.6160018920899,364.6044610595703,376.0076251252344,368.3305670939928,52.52605153083959,7.677058031241586,1,7.258146658126655,413.1135304280083,300.11847335617153,356.6160018920899,31.685358052448937,0.0460445533799526,1,0,-1,-0.04863439124273472,1,1,0
2014-11-16,387.8819885253906,390.7990112304688,374.60198974609375,374.7300109863281,11905600.0,0.0312362729598056,0.8481371949044707,0.0406797510108964,0.6457710274251618,358.36065063476565,364.3717010498047,377.83445026372,369.7788205333556,55.88566469853428,8.055629730364387,1,6.109374685799565,416.4354034026118,300.28589786691947,358.36065063476565,32.411344641203286,0.0463894527512387,1,0,-1,-0.09547748458963834,0,1,0
2014-11-17,387.4079895019531,410.1990051269531,377.50201416015625,388.3489990234375,41518800.0,-0.0012220186486088,0.8471007554357186,0.0405241321273703,0.6433006542344691,359.85014953613285,364.57624084472656,379.3073024542174,371.08468490139984,55.71436264249456,8.222617552817553,1,5.021090006602185,419.2844978341193,300.4158012381464,359.85014953613285,33.03283234679807,0.046379723887292,1,0,-1,-0.08902236662324925,0,1,0
2014-11-18,375.197998046875,392.4020080566406,371.1170043945313,387.7850036621094,32222500.0,-0.0315171390006053,0.8204025631791333,0.040934176667257,0.6498099095084697,361.83049926757815,364.5708605957032,378.6751017761647,371.3893747640277,51.34810673186352,7.285727012137045,1,3.267359572737341,420.5345423487516,303.1264561864047,361.83049926757815,32.448366403607714,0.0445590623525436,1,0,-1,-0.020322603104740877,1,1,0
2014-11-19,380.5549926757813,386.4809875488281,373.89599609375,373.89599609375,18931800.0,0.0142777804167202,0.8321160908295194,0.040893867906628,0.6491700277707795,363.5929992675782,364.4430804443359,378.9643157607211,372.0683094241575,53.085274388222814,6.896006336563573,1,2.302111117731096,422.3232462118226,304.8627523233338,363.5929992675782,32.305488313884275,0.044289958386811,1,0,-1,-0.009601744214486896,1,1,0
